Details,Price,Price/unit,Area,Facing,Status,Features,Posted_By,Posted
"2 BHK Apartment / Flat for Sale  GH 13 Paschim Vihar, New Delhi",1.25Cr,"10,417/Sq Ft.",1200 Sq Ft.,North-East,Ready to Move,"1st of 4 Floor, Semi Furnished, Freehold, 2 Bathroom, ",Rohit  (Agent),  6 Months  ago
"2 BHK Apartment / Flat for Sale  Okhla Phase 1, New Delhi",4.81Cr,"10,417/Sq Ft.",1200 Sq Ft.,North-East,Ready to Move,"1st of 4 Floor, Semi Furnished, Freehold, 2 Bathroom, ",krishna shukla  (Agent),  6 Months  ago
"2 BHK Apartment / Flat for Sale  Chirag Delhi, New Delhi",45Lac,"10,417/Sq Ft.",1200 Sq Ft.,North-East,Ready to Move,"1st of 4 Floor, Semi Furnished, Freehold, 2 Bathroom, ",Asha Kadwal (Owner),  6 Months  ago
"2 BHK Apartment / Flat for Sale  Okhla Phase 1, New Delhi",4.82Cr,"10,417/Sq Ft.",1200 Sq Ft.,North-East,Ready to Move,"1st of 4 Floor, Semi Furnished, Freehold, 2 Bathroom, ",krishna shukla  (Agent),  6 Months  ago
"2 BHK Studio Apartment for Sale  Paschim Vihar, New Delhi",1.2Cr,"10,417/Sq Ft.",1200 Sq Ft.,North-East,Ready to Move,"1st of 4 Floor, Semi Furnished, Freehold, 2 Bathroom, ",Harpreet singh (Agent),  6 Months  ago
"2 BHK Apartment / Flat for Sale  Paschim Vihar, New Delhi",1.2Cr,"10,417/Sq Ft.",1200 Sq Ft.,North-East,Ready to Move,"1st of 4 Floor, Semi Furnished, Freehold, 2 Bathroom, ",Harpreet singh (Agent),  6 Months  ago
"2 BHK Apartment / Flat for Sale  Paschim Vihar, New Delhi",1.6Cr,"10,417/Sq Ft.",1200 Sq Ft.,North-East,Ready to Move,"1st of 4 Floor, Semi Furnished, Freehold, 2 Bathroom, ",Harpreet singh (Agent),  6 Months  ago
"2 BHK Apartment / Flat for Sale  Moti Nagar, New Delhi",1.55Cr,"10,417/Sq Ft.",1200 Sq Ft.,North-East,Ready to Move,"1st of 4 Floor, Semi Furnished, Freehold, 2 Bathroom, ",krishna shukla  (Agent),  6 Months  ago
"2 BHK Apartment / Flat for Sale  Govindpuri Main, New Delhi",30Lac,"10,417/Sq Ft.",1200 Sq Ft.,North-East,Ready to Move,"1st of 4 Floor, Semi Furnished, Freehold, 2 Bathroom, ",Asha Kadwal (Owner),  6 Months  ago
"2 BHK Apartment / Flat for Sale  Okhla Phase 1, New Delhi",4.49Cr,"10,417/Sq Ft.",1200 Sq Ft.,North-East,Ready to Move,"1st of 4 Floor, Semi Furnished, Freehold, 2 Bathroom, ",krishna shukla  (Agent),  6 Months  ago
"2 BHK Apartment / Flat for Sale  Moti Nagar, New Delhi",1.55Cr,"10,417/Sq Ft.",1200 Sq Ft.,North-East,Ready to Move,"1st of 4 Floor, Semi Furnished, Freehold, 2 Bathroom, ",krishna shukla  (Agent),  6 Months  ago
